Filters:



"Parcel ID","Address"
="012200193003005000","424 LAMAR ST       , Birmingham, AL, 35214"
="012200193006004000","7 HOLT AVE       , Birmingham, AL, 35214"
="012200193010002000","205 BLOUNT ST       , Birmingham, AL, 35214"
="012200193010006000","221 BLOUNT ST       , Birmingham, AL, 35214"
="012200193010009000","220 ELMORE ST       , Birmingham, AL, 35214"
="012200193010014000","206 ELMORE ST       , Birmingham, AL, 35214"
="012200193010016000","201 PRATT HWY       , Birmingham, AL, 35214"
="012200193011003000","437 HALE ST       , Birmingham, AL, 35214"
="012200193011010000","12 EUTAW AVE       , Birmingham, AL, 35214"
="012200193011013000","309 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011014000","315 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011015000","317 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011016000","321 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011017000","328 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011019000","300 BLOUNT ST       , Birmingham, AL, 35214"
="012200193011023000","313 HALE ST       , Birmingham, AL, 35214"
="012200193012004000","3 EUTAW AVE       , Birmingham, AL, 35214"
="012200194001002001","324 SHERIDAN RD       , Birmingham, AL, 35214"
="012200194002001000","821 LAFAYETTE AVE       , Birmingham, AL, 35214"
="012200194002002000","801 LAFAYETTE AVE       , Birmingham, AL, 35214"
="012200194002003000","800 TRILBY ST       , Birmingham, AL, 35214"
="012200194002004000","830 TRILBY ST       , Birmingham, AL, 35214"
="012200194003002000","833 TRILBY ST       , Birmingham, AL, 35214"
="012200194003003000","827 TRILBY ST       , Birmingham, AL, 35214"
="012200194003005000","801 TRILBY ST       , Birmingham, AL, 35214"
="012200194007001000","220 SHERIDAN RD       , Birmingham, AL, 35214"
="012200194008001019","22 PRATT HWY       , Birmingham, AL, 35214"
="012200194008001031","27 WOODCREST DR       , Birmingham, AL, 35214"
="012200194008001034","74 PRATT HWY       , Birmingham, AL, 35214"
="012200194008001035","70 PRATT HWY       , Birmingham, AL, 35214"
="012200194008001036","66 PRATT HWY       , Birmingham, AL, 35214"
="012200194008010000","757 LAMPLIGHTER CIR       , Birmingham, AL, 35214"
="012200194008017000","721 LAMPLIGHTER CIR       , Birmingham, AL, 35214"
="012200194008019000","713 LAMPLIGHTER CIR       , Birmingham, AL, 35214"
="012200201001019000","1645 BROWN AVE       , Birmingham, AL, 35214"
="012200202007006000","920 RIDGE PL       , Birmingham, AL, 35214"
="012200202007008000","904 DUGAN AVE       , Birmingham, AL, 35214"
="012200203004005000","1116 LAFAYETTE ST       , Birmingham, AL, 35214"
="012200203006001000","1021 RIDGE ST       , Birmingham, AL, 35214"
="012200203007004001","940 COLUMBIA ST       , Birmingham, AL, 35214"
="012200203008001000","945 COLUMBIA ST       , Birmingham, AL, 35214"
="012200203009010000","1004 LAFAYETTE ST       , Birmingham, AL, 35214"
="012200203012024000","1138 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203014003000","1211 LAFAYETTE ST       , Birmingham, AL, 35214"
="012200203014008000","1133 LAFAYETTE ST       , Birmingham, AL, 35214"
="012200203014017000","1210 TRILBY ST       , Birmingham, AL, 35214"
="012200203014021000","1220 TRILBY ST       , Birmingham, AL, 35214"
="012200203015007000","1114 HIBERNIAN ST, Birmingham, AL, 35214"
="012200203016007000","617 HAMILTON AVE       , Birmingham, AL, 35214"
="012200203016008000","1000 TRILBY ST       , Birmingham, AL, 35214"
="012200203017008000","1017 TRILBY ST       , Birmingham, AL, 35214"
="012200203017009000","1011 TRILBY ST       , Birmingham, AL, 35214"
="012200203017012000","1001 TRILBY ST       , Birmingham, AL, 35214"
="012200203017020000","1036 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203018010000","940 TRILBY ST       , Birmingham, AL, 35214"
="012200203019005000","925 TRILBY ST       , Birmingham, AL, 35214"
="012200203019011000","920 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203019012000","928 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203021004000","923 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203024004000","415 NELSON AVE       , Birmingham, AL, 35214"
="012200203024005000","407 NELSON AVE       , Birmingham, AL, 35214"
="012200203024006000","401 NELSON AVE       , Birmingham, AL, 35214"
="012200203024007000","405 NELSON AVE       , Birmingham, AL, 35214"
="012200203024009000","408 LACEY RD       , Birmingham, AL, 35214"
="012200203024010000","412 LACEY RD       , Birmingham, AL, 35214"
="012200203025002000","1131 HIBERNIAN ST       , Birmingham, AL, 35214"
="012200203025005000","1132 LACEY RD       , Birmingham, AL, 35214"
="012200203026003000","421 CHURCH AVE       , Birmingham, AL, 35214"
="012200203031001000","227 LACEY RD       , Birmingham, AL, 35214"
